"c","t","n","sum","max"
"dockerA1","1740","641","23215","2572"
"dockerA1","1800","821","25675","1046"
"dockerA1","1860","703","14540","1043"
"dockerA1","1920","592","8992","940"
"dockerA1","1980","518","11974","1078"
"dockerA1","2040","867","31915","2122"
"dockerA1","2100","637","13823","1047"
"dockerA1","2160","636","8454","1042"
"dockerA1","2220","523","7645","1055"
"dockerA1","2280","510","15167","1055"
"dockerA1","2340","668","12976","1043"
"dockerA1","2400","14","87","46"
"dockerA2","-3600","649","5400","675"
"dockerA2","-3540","441","2238","221"
"dockerA2","-3480","551","4792","730"
"dockerA2","-3420","619","2884","422"
"dockerA2","-3360","538","2785","561"
"dockerA2","-3300","794","10095","1382"
"dockerA2","-3240","539","9455","1332"
"dockerA2","-3180","682","8633","1070"
"dockerA2","-3120","420","219168","30090"
"dockerA2","-3060","574","11489","1588"
"dockerA2","-3000","645","14792","1419"
"dockerA2","-2940","711","10629","1446"
"dockerA2","-2880","710","10056","1031"
"dockerA2","-2820","840","11656","1944"
"dockerA2","-2760","686","2566","230"
"dockerA2","-2700","909","8136","1061"
"dockerA2","-2640","885","13416","1028"
"dockerA2","-2580","322","6559","1033"
"dockerA2","-2520","534","6784","1043"
"dockerA2","-2460","339","4119","1028"
"dockerA2","-2400","488","5830","628"
"dockerA2","-2340","745","10817","1121"
"dockerA2","-2280","664","7617","725"
"dockerA2","-2220","795","77258","10662"
"dockerA2","-2160","560","26014","3407"
"dockerA2","-2100","643","99892","13727"
"dockerA2","-2040","652","127372","15309"
"dockerA2","-1980","455","4092","1024"
"dockerA2","-1920","571","15449","4401"
"dockerA2","-1860","654","18503","2247"
"dockerA2","-1800","553","7818","1025"
"dockerA2","-1740","618","8621","1052"
"dockerA2","-1680","601","6401","1033"
"dockerA2","-1620","656","7754","1028"
"dockerA2","-1560","562","7395","1027"
"dockerA2","-1500","681","5854","1026"
"dockerA2","-1440","617","2017","44"
"dockerA2","-1380","571","9131","1029"
"dockerA2","-1320","783","9953","1032"
"dockerA2","-1260","505","5453","1025"
"dockerA2","-1200","537","5451","931"
"dockerA2","-1140","714","11006","1031"
"dockerA2","-1080","457","1790","121"
"dockerA2","-1020","772","6138","1026"
"dockerA2","-960","462","2182","340"
"dockerA2","-900","585","2908","533"
"dockerA2","-840","669","3317","323"
"dockerA2","-780","467","4485","1029"
"dockerA2","-720","437","1403","45"
"dockerA2","-660","398","1826","221"
"dockerA2","-600","643","5872","1745"
"dockerA2","-540","620","6749","930"
"dockerA2","-480","426","3347","1027"
"dockerA2","-420","286","983","38"
"dockerA2","-360","470","10351","1034"
"dockerA2","-300","793","10421","1027"
"dockerA2","-240","706","10334","2031"
"dockerA2","-180","823","8038","1028"
"dockerA2","-120","675","9186","1034"
"dockerA2","-60","903","14135","1034"
"dockerA2","0","873","13990","1036"
"dockerA2","60","674","6843","829"
"dockerA2","120","410","2572","624"
"dockerA2","180","468","6822","727"
"dockerA2","240","550","7320","1065"
"dockerA2","300","580","1898","40"
"dockerA2","360","629","7629","1059"
"dockerA2","420","517","2894","321"
"dockerA2","480","395","7480","1020"
"dockerA2","540","547","7371","1029"
"dockerA2","600","471","4655","1027"
"dockerA2","660","468","9340","1021"
"dockerA2","720","428","4047","926"
"dockerA2","780","330","1029","42"
"dockerA2","840","311","4281","1029"
"dockerA2","900","376","1435","143"
"dockerA2","960","614","1929","38"
"dockerA2","1020","563","2622","423"
"dockerA2","1080","500","1862","149"
"dockerA2","1140","502","3928","1026"
"dockerA2","1200","696","6279","1031"
"dockerA2","1260","640","3599","323"
"dockerA2","1320","921","7832","1025"
"dockerA2","1380","911","8322","1030"
"dockerA2","1440","900","12420","1032"
"dockerA2","1500","551","3805","1027"
"dockerA2","1560","673","2461","120"
"dockerA2","1620","539","7412","1120"
"dockerA2","1680","653","7775","1032"
"dockerA2","1740","804","8238","1072"
"dockerA2","1800","782","6916","1027"
"dockerA2","1860","768","4438","1026"
"dockerA2","1920","485","5757","1045"
"dockerA2","1980","631","11214","1037"
"dockerA2","2040","747","3841","636"
"dockerA2","2100","636","8107","1031"
"dockerA2","2160","627","8750","1044"
"dockerA2","2220","494","4239","725"
"dockerA2","2280","651","5626","1027"
"dockerA2","2340","670","9637","1048"
"dockerB1","-3600","727","24603","2475"
"dockerB1","-3540","390","9053","1016"
"dockerB1","-3480","517","9413","856"
"dockerB1","-3420","918","22998","1169"
"dockerB1","-3360","679","14002","1371"
"dockerB1","-3300","693","10565","1140"
"dockerB1","-3240","900","29733","4093"
"dockerB1","-3180","990","27386","2146"
"dockerB1","-3120","661","638351","36322"
"dockerB1","-3060","878","55984","4811"
"dockerB1","-3000","1131","61476","2153"
"dockerB1","-2940","819","43735","2903"
"dockerB1","-2880","745","18355","1844"
"dockerB1","-2820","813","24966","1853"
"dockerB1","-2760","937","23682","2150"
"dockerB1","-2700","804","37071","2196"
"dockerB1","-2640","816","22141","1485"
"dockerB1","-2580","1241","24691","1755"
"dockerB1","-2520","1438","45613","2891"
"dockerB1","-2460","1344","33747","2154"
"dockerB1","-2400","1221","45964","2500"
"dockerB1","-2340","783","11974","1227"
"dockerB1","-2280","563","9041","2240"
"dockerB1","-2220","971","67460","10252"
"dockerB1","-2160","689","175464","12240"
"dockerB1","-2100","677","222280","22520"
"dockerB1","-2040","650","223727","15675"
"dockerB1","-1980","1331","50972","3743"
"dockerB1","-1920","1172","139737","9351"
"dockerB1","-1860","656","33473","4560"
"dockerB1","-1800","810","14311","1149"
"dockerB1","-1740","765","15650","1642"
"dockerB1","-1680","864","26995","3150"
"dockerB1","-1620","873","29135","2153"
"dockerB1","-1560","870","13567","1045"
"dockerB1","-1500","739","28101","1948"
"dockerB1","-1440","914","24624","2439"
"dockerB1","-1380","1708","81414","3040"
"dockerB1","-1320","1135","44871","2682"
"dockerB1","-1260","673","14648","1305"
"dockerB1","-1200","584","9206","1132"
"dockerB1","-1140","558","10865","1052"
"dockerB1","-1080","906","31374","2246"
"dockerB1","-1020","410","5129","1049"
"dockerB1","-960","373","5055","1069"
"dockerB1","-900","862","38405","3197"
"dockerB1","-840","1001","65473","5204"
"dockerB1","-780","1299","77513","6542"
"dockerB1","-720","869","42137","2485"
"dockerB1","-660","542","6284","748"
"dockerB1","-600","741","13111","1259"
"dockerB1","-540","1038","28098","1176"
"dockerB1","-480","940","20297","1515"
"dockerB1","-420","1154","29567","1341"
"dockerB1","-360","1361","40436","1644"
"dockerB1","-300","1196","35228","2273"
"dockerB1","-240","826","12197","1348"
"dockerB1","-180","1039","23273","1354"
"dockerB1","-120","1070","40730","2154"
"dockerB1","-60","953","43723","5015"
"dockerB1","0","1174","44985","2213"
"dockerB1","60","916","31208","2053"
"dockerB1","120","1186","40203","2166"
"dockerB1","180","1061","21128","1252"
"dockerB1","240","597","13986","2655"
"dockerB1","300","539","6227","730"
"dockerB1","360","779","14738","1745"
"dockerB1","420","658","17798","1536"
"dockerB1","480","763","19536","2236"
"dockerB1","540","915","18863","1335"
"dockerB1","600","823","13710","1443"
"dockerB1","660","985","22661","2039"
"dockerB1","720","994","16641","1862"
"dockerB1","780","562","8381","1255"
"dockerB1","840","678","12507","2047"
"dockerB1","900","468","6921","1027"
"dockerB1","960","423","3907","411"
"dockerB1","1020","474","6423","619"
"dockerB1","1080","613","7251","1128"
"dockerB1","1140","724","8975","1052"
"dockerB1","1200","763","6590","1034"
"dockerB1","1260","1007","22686","2348"
"dockerB1","1320","1125","19342","1844"
"dockerB1","1380","828","32965","2077"
"dockerB1","1440","731","16121","1872"
"dockerB1","1500","1201","28067","1218"
"dockerB1","1560","538","9158","1024"
"dockerB1","1620","787","13836","1240"
"dockerB1","1680","566","12296","1749"
"dockerB1","1740","846","22542","1172"
"dockerB1","1800","1138","38228","3046"
"dockerB1","1860","415","8164","1955"
"dockerB1","1920","946","28443","2144"
"dockerB1","1980","1233","47620","3052"
"dockerB1","2040","980","25339","2259"
"dockerB1","2100","593","17524","1234"
"dockerB1","2160","549","8479","1137"
"dockerB1","2220","839","16061","1047"
"dockerB1","2280","615","11851","2157"
"dockerB1","2340","601","9167","1234"
"dockerB1","2400","2","5","4"
"dockerB2","-3600","583","4584","1012"
"dockerB2","-3540","760","6247","688"
"dockerB2","-3480","821","18223","1709"
"dockerB2","-3420","852","19296","2100"
"dockerB2","-3360","908","13318","1103"
"dockerB2","-3300","577","2243","198"
"dockerB2","-3240","717","19621","2034"
"dockerB2","-3180","1396","31747","2104"
"dockerB2","-3120","697","469885","36814"
"dockerB2","-3060","790","33981","4437"
"dockerB2","-3000","852","17526","1112"
"dockerB2","-2940","955","20895","2611"
"dockerB2","-2880","739","8883","1100"
"dockerB2","-2820","690","13618","1303"
"dockerB2","-2760","674","12205","1133"
"dockerB2","-2700","495","4792","691"
"dockerB2","-2640","871","23213","1947"
"dockerB2","-2580","1284","29789","1656"
"dockerB2","-2520","1198","20312","1239"
"dockerB2","-2460","1005","19701","1595"
"dockerB2","-2400","1089","19889","1995"
"dockerB2","-2340","1017","22031","1148"
"dockerB2","-2280","633","6901","1165"
"dockerB2","-2220","820","232155","23679"
"dockerB2","-2160","694","216141","12671"
"dockerB2","-2100","689","273978","21480"
"dockerB2","-2040","739","274024","25371"
"dockerB2","-1980","1017","41717","4788"
"dockerB2","-1920","979","98804","8938"
"dockerB2","-1860","686","13872","1370"
"dockerB2","-1800","618","9340","1108"
"dockerB2","-1740","949","14573","1404"
"dockerB2","-1680","1041","24709","1931"
"dockerB2","-1620","921","17377","2106"
"dockerB2","-1560","914","12156","1301"
"dockerB2","-1500","924","16696","1309"
"dockerB2","-1440","858","27796","3665"
"dockerB2","-1380","1546","45016","2304"
"dockerB2","-1320","1179","25686","1605"
"dockerB2","-1260","836","13169","1820"
"dockerB2","-1200","701","8284","1105"
"dockerB2","-1140","975","7122","1104"
"dockerB2","-1080","665","6854","1305"
"dockerB2","-1020","441","4442","1016"
"dockerB2","-960","698","34530","3259"
"dockerB2","-900","508","19337","2488"
"dockerB2","-840","1205","40180","2154"
"dockerB2","-780","1164","56269","4208"
"dockerB2","-720","795","37946","5066"
"dockerB2","-660","582","6900","710"
"dockerB2","-600","1018","12073","1132"
"dockerB2","-540","789","12861","1150"
"dockerB2","-480","696","10153","1094"
"dockerB2","-420","1033","23142","1417"
"dockerB2","-360","1572","41414","1909"
"dockerB2","-300","1207","38180","2100"
"dockerB2","-240","1391","37755","1801"
"dockerB2","-180","1098","20223","1396"
"dockerB2","-120","1046","10401","1035"
"dockerB2","-60","1112","25384","1469"
"dockerB2","0","1040","31953","1935"
"dockerB2","60","861","23233","1501"
"dockerB2","120","1032","16956","1116"
"dockerB2","180","1047","19775","2494"
"dockerB2","240","393","5271","1051"
"dockerB2","300","562","5461","528"
"dockerB2","360","614","12210","1032"
"dockerB2","420","731","8852","1095"
"dockerB2","480","985","14408","1103"
"dockerB2","540","767","7011","896"
"dockerB2","600","959","9228","1291"
"dockerB2","660","1070","22758","1484"
"dockerB2","720","1061","18497","1612"
"dockerB2","780","417","3081","408"
"dockerB2","840","586","9778","892"
"dockerB2","900","450","4567","600"
"dockerB2","960","502","7010","1091"
"dockerB2","1020","558","6698","889"
"dockerB2","1080","513","3655","1042"
"dockerB2","1140","650","4636","509"
"dockerB2","1200","716","5628","986"
"dockerB2","1260","878","8202","1270"
"dockerB2","1320","972","17612","2036"
"dockerB2","1380","820","18033","2218"
"dockerB2","1440","631","12096","1863"
"dockerB2","1500","891","21915","1315"
"dockerB2","1560","479","2394","294"
"dockerB2","1620","1005","20309","1681"
"dockerB2","1680","727","6220","1101"
"dockerB2","1740","982","15275","1228"
"dockerB2","1800","1294","34096","2116"
"dockerB2","1860","494","10696","1613"
"dockerB2","1920","723","15052","1511"
"dockerB2","1980","1370","39746","2011"
"dockerB2","2040","1210","20715","2107"
"dockerB2","2100","799","21635","1100"
"dockerB2","2160","626","11917","1097"
"dockerB2","2220","665","6948","1099"
"dockerB2","2280","386","3926","1111"
"dockerB2","2340","822","8321","613"
"IG01","-3600","450","31556","2330"
"IG01","-3540","413","22736","1058"
"IG01","-3480","356","31314","2320"
"IG01","-3420","442","47282","2374"
"IG01","-3360","466","70067","2381"
"IG01","-3300","447","61979","2488"
"IG01","-3240","452","24929","1045"
"IG01","-3180","386","31669","1726"
"IG01","-3120","400","34221","1345"
"IG01","-3060","408","37390","1069"
"IG01","-3000","498","42000","1152"
"IG01","-2940","420","43505","1714"
"IG01","-2880","524","60424","2131"
"IG01","-2820","402","786098","29506"
"IG01","-2760","398","45940","1829"
"IG01","-2700","444","95556","4102"
"IG01","-2640","408","74746","2625"
"IG01","-2580","460","56584","1422"
"IG01","-2520","476","60802","2232"
"IG01","-2460","454","49007","2148"
"IG01","-2400","524","66952","2156"
"IG01","-2340","460","76381","2077"
"IG01","-2280","420","54182","1767"
"IG01","-2220","514","58617","1184"
"IG01","-2160","456","58710","2469"
"IG01","-2100","395","50307","2382"
"IG01","-2040","420","49806","1456"
"IG01","-1980","392","31831","1176"
"IG01","-1920","532","46543","1244"
"IG01","-1860","480","528473","12319"
"IG01","-1800","478","425012","10997"
"IG01","-1740","422","639036","26589"
"IG01","-1680","454","79052","3243"
"IG01","-1620","458","256739","9365"
"IG01","-1560","412","80800","4572"
"IG01","-1500","372","29766","1157"
"IG01","-1440","390","31293","1415"
"IG01","-1380","434","65339","3164"
"IG01","-1320","462","59162","2116"
"IG01","-1260","562","41307","1763"
"IG01","-1200","470","56932","1958"
"IG01","-1140","450","32067","2122"
"IG01","-1080","508","93239","2539"
"IG01","-1020","450","87484","3054"
"IG01","-960","438","39660","2173"
"IG01","-900","408","25587","1144"
"IG01","-840","426","29861","1063"
"IG01","-780","352","37212","2061"
"IG01","-720","438","35346","1216"
"IG01","-660","386","45322","2418"
"IG01","-600","394","53337","3209"
"IG01","-540","514","75339","3938"
"IG01","-480","474","130266","5091"
"IG01","-420","360","76942","4226"
"IG01","-360","292","47991","5076"
"IG01","-300","364","24342","1057"
"IG01","-240","446","48275","1271"
"IG01","-180","364","40391","1174"
"IG01","-120","368","37499","1175"
"IG01","-60","372","70107","2287"
"IG01","0","398","66778","1605"
"IG01","60","388","51101","2112"
"IG01","120","426","64819","1366"
"IG01","180","448","63986","2181"
"IG01","240","392","74916","5028"
"IG01","300","476","72690","2168"
"IG01","360","430","62296","1945"
"IG01","420","392","54718","2180"
"IG01","480","374","46578","2504"
"IG01","540","340","33623","2667"
"IG01","600","376","18511","1577"
"IG01","660","326","34028","1756"
"IG01","720","434","30484","1106"
"IG01","780","390","42289","2153"
"IG01","840","364","39436","1096"
"IG01","900","390","31825","1146"
"IG01","960","374","33525","1455"
"IG01","1020","336","58358","1877"
"IG01","1080","258","22597","2060"
"IG01","1140","272","25948","2059"
"IG01","1200","232","16797","1041"
"IG01","1260","310","14736","571"
"IG01","1320","324","21170","898"
"IG01","1380","324","31080","1061"
"IG01","1440","336","25958","1240"
"IG01","1500","448","30916","1054"
"IG01","1560","444","36601","1280"
"IG01","1620","520","49915","2047"
"IG01","1680","490","62628","2257"
"IG01","1740","536","52817","1991"
"IG01","1800","416","51833","1327"
"IG01","1860","388","39305","1644"
"IG01","1920","382","44148","1436"
"IG01","1980","468","40320","1760"
"IG01","2040","506","57699","1548"
"IG01","2100","480","85425","2214"
"IG01","2160","352","38189","1969"
"IG01","2220","364","38754","1968"
"IG01","2280","370","76860","3064"
"IG01","2340","462","74410","2117"
"IG01","2400","4","184","46"
"IG02","-3600","498","26381","1061"
"IG02","-3540","374","27497","1505"
"IG02","-3480","398","24558","1529"
"IG02","-3420","442","42031","1351"
"IG02","-3360","520","56127","2173"
"IG02","-3300","486","58166","2698"
"IG02","-3240","450","27477","1023"
"IG02","-3180","418","26343","1023"
"IG02","-3120","418","42752","2044"
"IG02","-3060","392","41939","2111"
"IG02","-3000","460","47952","1169"
"IG02","-2940","430","46663","4106"
"IG02","-2880","456","80304","2115"
"IG02","-2820","330","747411","24379"
"IG02","-2760","384","112250","8256"
"IG02","-2700","430","102951","4823"
"IG02","-2640","418","75088","2918"
"IG02","-2580","578","43864","1085"
"IG02","-2520","492","47213","1866"
"IG02","-2460","456","56212","2163"
"IG02","-2400","512","63320","2212"
"IG02","-2340","452","74793","2071"
"IG02","-2280","420","56402","2117"
"IG02","-2220","496","70711","2908"
"IG02","-2160","398","66779","2165"
"IG02","-2100","358","47499","2514"
"IG02","-2040","412","52507","2244"
"IG02","-1980","396","30145","1092"
"IG02","-1920","390","65912","2251"
"IG02","-1860","454","564089","12262"
"IG02","-1800","498","397779","16838"
"IG02","-1740","484","672329","24885"
"IG02","-1680","482","58883","2128"
"IG02","-1620","480","254178","8978"
"IG02","-1560","462","69360","2258"
"IG02","-1500","368","29552","1259"
"IG02","-1440","346","44693","1654"
"IG02","-1380","452","59693","1943"
"IG02","-1320","480","64820","2166"
"IG02","-1260","496","54284","1652"
"IG02","-1200","486","47640","1599"
"IG02","-1140","402","53356","2454"
"IG02","-1080","414","106676","4682"
"IG02","-1020","468","89360","3213"
"IG02","-960","426","47940","1636"
"IG02","-900","354","36089","1765"
"IG02","-840","402","30090","1117"
"IG02","-780","368","43417","2259"
"IG02","-720","458","28654","1464"
"IG02","-660","390","49904","3608"
"IG02","-600","412","43847","3268"
"IG02","-540","450","88843","5528"
"IG02","-480","492","118057","5425"
"IG02","-420","390","103212","6553"
"IG02","-360","370","31041","2898"
"IG02","-300","352","24633","1143"
"IG02","-240","436","48371","1758"
"IG02","-180","378","36653","2091"
"IG02","-120","360","34983","1568"
"IG02","-60","404","66158","1919"
"IG02","0","392","73698","1455"
"IG02","60","390","48851","2284"
"IG02","120","430","69502","2082"
"IG02","180","464","52976","1757"
"IG02","240","522","59318","1492"
"IG02","300","540","59957","2227"
"IG02","360","492","62869","1946"
"IG02","420","376","54165","2065"
"IG02","480","378","46302","1683"
"IG02","540","366","32325","1077"
"IG02","600","368","25622","1067"
"IG02","660","334","29328","1501"
"IG02","720","406","33471","1081"
"IG02","780","408","41352","1973"
"IG02","840","370","39125","2249"
"IG02","900","364","35776","1349"
"IG02","960","334","38059","1258"
"IG02","1020","372","52071","2133"
"IG02","1080","274","19425","1062"
"IG02","1140","274","22998","914"
"IG02","1200","246","15918","718"
"IG02","1260","302","15252","405"
"IG02","1320","308","21662","1155"
"IG02","1380","360","26285","1140"
"IG02","1440","374","17121","851"
"IG02","1500","394","36008","1957"
"IG02","1560","482","25782","1392"
"IG02","1620","468","49443","2360"
"IG02","1680","526","68337","2104"
"IG02","1740","482","64750","1975"
"IG02","1800","470","44500","1564"
"IG02","1860","398","36705","2357"
"IG02","1920","416","29644","1692"
"IG02","1980","480","35428","1371"
"IG02","2040","480","50463","2590"
"IG02","2100","480","82806","3059"
"IG02","2160","394","29052","1056"
"IG02","2220","426","25531","1626"
"IG02","2280","436","66248","3286"
"IG02","2340","444","70219","2273"
"MG01","-3600","642","26102","2319"
"MG01","-3540","474","19316","1056"
"MG01","-3480","500","21686","1520"
"MG01","-3420","732","40706","2367"
"MG01","-3360","844","63741","2374"
"MG01","-3300","698","54466","2480"
"MG01","-3240","570","16559","1022"
"MG01","-3180","478","23250","1713"
"MG01","-3120","662","37527","1701"
"MG01","-3060","634","31452","1376"
"MG01","-3000","724","31267","1107"
"MG01","-2940","656","39551","1706"
"MG01","-2880","820","62792","2124"
"MG01","-2820","562","1750649","36331"
"MG01","-2760","612","160964","8246"
"MG01","-2700","696","115088","4815"
"MG01","-2640","664","75978","2336"
"MG01","-2580","778","44092","1052"
"MG01","-2520","664","37513","1104"
"MG01","-2460","682","36420","1718"
"MG01","-2400","654","48905","2203"
"MG01","-2340","650","67489","2066"
"MG01","-2280","682","53604","1951"
"MG01","-2220","858","69912","2896"
"MG01","-2160","776","60495","2462"
"MG01","-2100","713","53125","1598"
"MG01","-2040","682","44796","1231"
"MG01","-1980","544","17286","515"
"MG01","-1920","722","48909","2245"
"MG01","-1860","622","839416","20136"
"MG01","-1800","648","578098","20945"
"MG01","-1740","554","1256381","25155"
"MG01","-1680","760","49624","2121"
"MG01","-1620","732","291620","8942"
"MG01","-1560","626","82579","4566"
"MG01","-1500","544","23627","1188"
"MG01","-1440","586","35822","1407"
"MG01","-1380","708","52577","1935"
"MG01","-1320","696","48333","1220"
"MG01","-1260","704","40486","1757"
"MG01","-1200","688","40583","1113"
"MG01","-1140","612","44957","2447"
"MG01","-1080","818","105943","3669"
"MG01","-1020","884","77350","2377"
"MG01","-960","560","36010","2166"
"MG01","-900","558","30080","1154"
"MG01","-840","568","26864","1107"
"MG01","-780","620","47285","2251"
"MG01","-720","522","25214","1055"
"MG01","-660","270","14866","1999"
"MG01","-600","88","3995","1092"
"MG01","-540","124","2132","125"
"MG01","-480","142","25358","5209"
"MG01","-420","118","10459","1366"
"MG01","-360","278","10748","705"
"MG01","-300","582","25069","1049"
"MG01","-240","682","49603","1264"
"MG01","-180","578","34776","2082"
"MG01","-120","600","23936","1083"
"MG01","-60","740","69333","1912"
"MG01","0","762","65878","1454"
"MG01","60","640","61444","2104"
"MG01","120","754","63183","2072"
"MG01","180","732","43503","1750"
"MG01","240","728","65566","5020"
"MG01","300","788","59604","2086"
"MG01","360","694","60272","1939"
"MG01","420","722","46972","2121"
"MG01","480","754","58145","2498"
"MG01","540","478","27606","1052"
"MG01","600","510","19276","1057"
"MG01","660","468","34484","1750"
"MG01","720","582","26014","1071"
"MG01","780","628","35017","1543"
"MG01","840","602","31149","1162"
"MG01","900","592","25781","1139"
"MG01","960","606","29107","1447"
"MG01","1020","682","52374","1487"
"MG01","1080","412","21324","1549"
"MG01","1140","424","20490","1032"
"MG01","1200","352","17382","1033"
"MG01","1260","486","12582","394"
"MG01","1320","490","13782","1094"
"MG01","1380","440","22161","1132"
"MG01","1440","544","17296","1046"
"MG01","1500","552","26631","1058"
"MG01","1560","698","24446","1273"
"MG01","1620","774","41940","2039"
"MG01","1680","812","56201","2097"
"MG01","1740","706","48014","1981"
"MG01","1800","748","35323","1159"
"MG01","1860","602","35597","2092"
"MG01","1920","616","37279","1428"
"MG01","1980","686","32865","1364"
"MG01","2040","706","48570","2579"
"MG01","2100","884","80825","2205"
"MG01","2160","574","31639","1151"
"MG01","2220","526","26988","1617"
"MG01","2280","672","86792","3278"
"MG01","2340","756","62743","2265"
"MG01","2400","6","170","40"
"MG02","-3600","557","23216","1052"
"MG02","-3540","621","23169","1497"
"MG02","-3480","494","29930","2311"
"MG02","-3420","690","37520","2311"
"MG02","-3360","658","48260","2166"
"MG02","-3300","617","52848","1851"
"MG02","-3240","610","19327","626"
"MG02","-3180","582","22603","1135"
"MG02","-3120","644","34634","2036"
"MG02","-3060","590","37446","2104"
"MG02","-3000","634","37248","1161"
"MG02","-2940","584","48385","4099"
"MG02","-2880","814","56268","1846"
"MG02","-2820","556","1846629","36820"
"MG02","-2760","594","131968","4612"
"MG02","-2700","718","123739","4095"
"MG02","-2640","704","75187","2912"
"MG02","-2580","662","35600","1076"
"MG02","-2520","716","45000","1858"
"MG02","-2460","646","47293","2155"
"MG02","-2400","686","44726","1967"
"MG02","-2340","730","69781","2069"
"MG02","-2280","718","55238","2106"
"MG02","-2220","822","42000","1470"
"MG02","-2160","742","53185","2148"
"MG02","-2100","660","42373","2507"
"MG02","-2040","706","43723","1449"
"MG02","-1980","512","28293","1169"
"MG02","-1920","776","39302","1237"
"MG02","-1860","610","1005445","23684"
"MG02","-1800","674","834520","22527"
"MG02","-1740","530","1118155","26579"
"MG02","-1680","766","68568","3196"
"MG02","-1620","854","353325","9357"
"MG02","-1560","588","83688","2969"
"MG02","-1500","500","33266","1252"
"MG02","-1440","594","33804","1647"
"MG02","-1380","690","60188","3157"
"MG02","-1320","662","52429","2158"
"MG02","-1260","704","28204","1071"
"MG02","-1200","702","44484","1952"
"MG02","-1140","570","26100","1309"
"MG02","-1080","886","88166","2308"
"MG02","-1020","770","90783","3046"
"MG02","-960","666","37814","1823"
"MG02","-900","552","23854","1137"
"MG02","-840","544","21270","1108"
"MG02","-780","592","29376","1259"
"MG02","-720","576","24526","1457"
"MG02","-660","748","41876","2913"
"MG02","-600","1046","71601","3262"
"MG02","-540","1352","117756","3823"
"MG02","-480","1480","172043","4446"
"MG02","-420","1072","121339","6547"
"MG02","-360","634","52289","5069"
"MG02","-300","538","19166","1135"
"MG02","-240","668","36632","1748"
"MG02","-180","584","37700","1166"
